level,BFS,IDS,UCS,A*
Stage 01,9,9,9,9
Stage 02,24,24,18,18
Stage 03,73,73,73,73
Stage 04,26,26,26,26
Stage 05,45,45,45,45
Stage 06,26,26,18,18
Stage 07,13,13,13,13
Stage 08,67,67,67,67
Stage 09,28,28,20,20
Stage 10,142,142,142,142
