level,BFS,IDS,UCS,A*
Stage 01,7,7,7,7
Stage 02,12,12,13,13
Stage 03,28,28,28,28
Stage 04,17,17,17,17
Stage 05,33,33,33,33
Stage 06,12,12,13,13
Stage 07,11,11,11,11
Stage 08,58,58,58,58
Stage 09,14,14,15,15
Stage 10,91,91,91,91
