level,BFS,IDS,UCS,A*
Stage 01,64,123,62,28
Stage 02,31,169,28,26
Stage 03,69,2280,68,68
Stage 04,283,4967,271,230
Stage 05,319,12235,300,267
Stage 06,55,285,45,40
Stage 07,823,2123,976,861
Stage 08,10670,1819330,11659,10267
Stage 09,62,381,55,45
Stage 10,800,132439,792,739
