stage_number,level,level_name,category,level_path,algorithm,run,execution_ok,solved,valid_path,search_time_s,memory_usage_bytes,expanded_nodes,solution_length,solution_cost,validated_cost,path,error
2,Stage 02,Stage 02,Fragile,levels/fragile_levels/stage_02.json,BFS,4,True,True,True,0.0020013999892398715,16894,31,12,24,24,"[""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""UP""]",
2,Stage 02,Stage 02,Fragile,levels/fragile_levels/stage_02.json,BFS,5,True,True,True,0.0020795999880647287,16894,31,12,24,24,"[""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""UP""]",
2,Stage 02,Stage 02,Fragile,levels/fragile_levels/stage_02.json,IDS,1,True,True,True,0.010564900003373623,13150,169,12,24,24,"[""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""UP""]",
2,Stage 02,Stage 02,Fragile,levels/fragile_levels/stage_02.json,IDS,2,True,True,True,0.01071429999137763,13150,169,12,24,24,"[""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""UP""]",
2,Stage 02,Stage 02,Fragile,levels/fragile_levels/stage_02.json,IDS,3,True,True,True,0.010999800011632033,13150,169,12,24,24,"[""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""UP""]",
2,Stage 02,Stage 02,Fragile,levels/fragile_levels/stage_02.json,IDS,4,True,True,True,0.010251400002744049,13150,169,12,24,24,"[""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""UP""]",
2,Stage 02,Stage 02,Fragile,levels/fragile_levels/stage_02.json,IDS,5,True,True,True,0.00980530001106672,13150,169,12,24,24,"[""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""UP""]",
2,Stage 02,Stage 02,Fragile,levels/fragile_levels/stage_02.json,UCS,1,True,True,True,0.00193569999828469,15158,28,13,18,18,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""LEFT"", ""UP"", ""UP""]",
2,Stage 02,Stage 02,Fragile,levels/fragile_levels/stage_02.json,UCS,2,True,True,True,0.0020345999946584925,15158,28,13,18,18,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""LEFT"", ""UP"", ""UP""]",
2,Stage 02,Stage 02,Fragile,levels/fragile_levels/stage_02.json,UCS,3,True,True,True,0.0019203999981982633,15158,28,13,18,18,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""LEFT"", ""UP"", ""UP""]",
2,Stage 02,Stage 02,Fragile,levels/fragile_levels/stage_02.json,UCS,4,True,True,True,0.0019826999923679978,15158,28,13,18,18,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""LEFT"", ""UP"", ""UP""]",
2,Stage 02,Stage 02,Fragile,levels/fragile_levels/stage_02.json,UCS,5,True,True,True,0.0020182000007480383,15158,28,13,18,18,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""LEFT"", ""UP"", ""UP""]",
2,Stage 02,Stage 02,Fragile,levels/fragile_levels/stage_02.json,A*,1,True,True,True,0.0020683999900938943,14672,26,13,18,18,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""LEFT"", ""UP"", ""UP""]",
2,Stage 02,Stage 02,Fragile,levels/fragile_levels/stage_02.json,A*,2,True,True,True,0.00184090000402648,14672,26,13,18,18,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""LEFT"", ""UP"", ""UP""]",
2,Stage 02,Stage 02,Fragile,levels/fragile_levels/stage_02.json,A*,3,True,True,True,0.0018287999992026016,14672,26,13,18,18,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""LEFT"", ""UP"", ""UP""]",
2,Stage 02,Stage 02,Fragile,levels/fragile_levels/stage_02.json,A*,4,True,True,True,0.0023267999931704253,14672,26,13,18,18,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""LEFT"", ""UP"", ""UP""]",
2,Stage 02,Stage 02,Fragile,levels/fragile_levels/stage_02.json,A*,5,True,True,True,0.0023929000017233193,14672,26,13,18,18,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""LEFT"", ""UP"", ""UP""]",
3,Stage 03,Stage 03,Fragile,levels/fragile_levels/stage_03.json,BFS,1,True,True,True,0.004276499996194616,26830,69,28,73,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]",
3,Stage 03,Stage 03,Fragile,levels/fragile_levels/stage_03.json,BFS,2,True,True,True,0.004627500005881302,26830,69,28,73,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]",
3,Stage 03,Stage 03,Fragile,levels/fragile_levels/stage_03.json,BFS,3,True,True,True,0.004383100007544272,26830,69,28,73,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]",
3,Stage 03,Stage 03,Fragile,levels/fragile_levels/stage_03.json,BFS,4,True,True,True,0.004337100006523542,26830,69,28,73,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]",
3,Stage 03,Stage 03,Fragile,levels/fragile_levels/stage_03.json,BFS,5,True,True,True,0.0043913999979849905,26830,69,28,73,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]",
3,Stage 03,Stage 03,Fragile,levels/fragile_levels/stage_03.json,IDS,1,True,True,True,0.14853340000263415,20550,2280,28,73,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]",
3,Stage 03,Stage 03,Fragile,levels/fragile_levels/stage_03.json,IDS,2,True,True,True,0.14310939999995753,20550,2280,28,73,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]",
3,Stage 03,Stage 03,Fragile,levels/fragile_levels/stage_03.json,IDS,3,True,True,True,0.1457897999935085,20550,2280,28,73,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]",
3,Stage 03,Stage 03,Fragile,levels/fragile_levels/stage_03.json,IDS,4,True,True,True,0.151204299996607,20550,2280,28,73,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]",
3,Stage 03,Stage 03,Fragile,levels/fragile_levels/stage_03.json,IDS,5,True,True,True,0.1512574000080349,20550,2280,28,73,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]",
3,Stage 03,Stage 03,Fragile,levels/fragile_levels/stage_03.json,UCS,1,True,True,True,0.00474039999244269,25574,68,28,73,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]",
3,Stage 03,Stage 03,Fragile,levels/fragile_levels/stage_03.json,UCS,2,True,True,True,0.005040999996708706,25574,68,28,73,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]",
3,Stage 03,Stage 03,Fragile,levels/fragile_levels/stage_03.json,UCS,3,True,True,True,0.004797800007509068,25574,68,28,73,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]",
3,Stage 03,Stage 03,Fragile,levels/fragile_levels/stage_03.json,UCS,4,True,True,True,0.004897299993899651,25574,68,28,73,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]",
