stage_number,level,level_name,category,algorithm,runs,successful_runs,all_runs_ok,solved_all,paths_valid_all,deterministic_consistent,median_search_time_s,mean_search_time_s,stdev_search_time_s,min_search_time_s,max_search_time_s,median_memory_usage_bytes,mean_memory_usage_bytes,expanded_nodes,solution_length,solution_cost,path
4,Stage 04,Stage 04,Bridge/Switch,IDS,5,5,True,True,True,True,0.4101630000077421,0.4179692000034265,0.04727872269117345,0.365129199999501,0.48187470000993926,84686,84686,4967,17,26,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""UP"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""UP""]"
4,Stage 04,Stage 04,Bridge/Switch,UCS,5,5,True,True,True,True,0.02580129999842029,0.025489059995743447,0.000938902593551472,0.024343999990378506,0.026415000000270084,114910,114910,271,17,26,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""UP"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""UP""]"
4,Stage 04,Stage 04,Bridge/Switch,A*,5,5,True,True,True,True,0.02299440000206232,0.02337645999796223,0.0012829680128932741,0.022258899989537895,0.025496600006590597,101621,101621,230,17,26,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""UP"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""UP""]"
5,Stage 05,Stage 05,Bridge/Switch,BFS,5,5,True,True,True,True,0.023682300001382828,0.024127379999845287,0.0017768435066141302,0.022253699993598275,0.027026800002204254,150701,150701,319,33,45,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""RIGHT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]"
5,Stage 05,Stage 05,Bridge/Switch,IDS,5,5,True,True,True,True,0.9951129999972181,0.9871516199986218,0.051959179292323396,0.8992190999997547,1.0355969999945955,97334,97334,12235,33,45,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""RIGHT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]"
5,Stage 05,Stage 05,Bridge/Switch,UCS,5,5,True,True,True,True,0.024405300006037578,0.024656560004223137,0.0011710487206552577,0.023491500003729016,0.026232400006847456,121949,121949,300,33,45,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""RIGHT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]"
5,Stage 05,Stage 05,Bridge/Switch,A*,5,5,True,True,True,True,0.024152199999662116,0.03146044000168331,0.011984612327666224,0.022250699999858625,0.04781199998978991,112550,112550,267,33,45,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""RIGHT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]"
6,Stage 06,Stage 06,Bridge/Switch,BFS,5,5,True,True,True,True,0.008596900006523356,0.00875392000307329,0.0007006529031742022,0.007893500005593523,0.009804100001929328,26678,26678,55,12,26,"[""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""UP""]"
6,Stage 06,Stage 06,Bridge/Switch,IDS,5,5,True,True,True,True,0.020818400007556193,0.02552952000114601,0.00882717354075031,0.01924170000711456,0.040048399998340756,21118,21118,285,12,26,"[""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""UP""]"
6,Stage 06,Stage 06,Bridge/Switch,UCS,5,5,True,True,True,True,0.0037192000017967075,0.004040699999313802,0.0008884125569153172,0.0032266999915009364,0.005362500000046566,24878,24878,45,13,18,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""LEFT"", ""UP"", ""UP""]"
